floodZoneCategory,policyYear,n_policies,pct_elevated,price_per_dollar_coverage
non-SFHA,2009,17181,0.050462720447005414,0.0018949637763709664
SFHA pre-FIRM,2009,11923,0.1824205317453661,0.005918482860030186
SFHA post-FIRM,2009,10487,0.289882711929055,0.002860937068326822
non-SFHA,2010,16970,0.055627578078962875,0.001956391210974286
SFHA pre-FIRM,2010,11703,0.19875245663505084,0.0061800637875599794
SFHA post-FIRM,2010,10505,0.29395525940028555,0.003140476821881844
non-SFHA,2011,17296,0.06302035152636448,0.0019668995110779922
SFHA pre-FIRM,2011,11621,0.2021340676361759,0.006249568977598568
SFHA post-FIRM,2011,10442,0.29170656962267766,0.0032096789532448607
non-SFHA,2012,16879,0.06380709757687067,0.001958225559064769
SFHA pre-FIRM,2012,11654,0.20199073279560667,0.006485345206840847
SFHA post-FIRM,2012,10635,0.3023977433004231,0.003197112496389827
non-SFHA,2013,17073,0.0704621331927605,0.0021323795670099574
SFHA pre-FIRM,2013,11332,0.20949523473349807,0.006872709991776056
SFHA post-FIRM,2013,10706,0.30674388193536334,0.0032885610605739987
non-SFHA,2014,17149,0.0714910490407604,0.0021206296105715254
SFHA pre-FIRM,2014,10582,0.21082971082971083,0.007367462990411267
SFHA post-FIRM,2014,10452,0.31544202066590127,0.0033669791020539772
non-SFHA,2015,16217,0.07781957205401739,0.0023472551987193434
SFHA pre-FIRM,2015,9999,0.2223222322232223,0.008506824830636247
SFHA post-FIRM,2015,9754,0.3399630920647939,0.003920518274414948
non-SFHA,2016,16856,0.08548884670147129,0.0024063064852828005
SFHA post-FIRM,2016,9831,0.34645509103855154,0.004138057553534909
SFHA pre-FIRM,2016,9363,0.22866602584641674,0.008955936446586803
non-SFHA,2017,18016,0.08570159857904085,0.0023510616077533656
SFHA post-FIRM,2017,9561,0.34598891329358855,0.004096001433065771
SFHA pre-FIRM,2017,8691,0.22413991485444712,0.008957950543657717
non-SFHA,2018,18792,0.0926990208599404,0.002301080228629226
SFHA post-FIRM,2018,9188,0.3567696996081846,0.00404627559319159
SFHA pre-FIRM,2018,8462,0.2285511699361853,0.009217236783530158
non-SFHA,2019,18620,0.0985499462943072,0.00240087473458265
SFHA post-FIRM,2019,9152,0.3539117132867133,0.004004807611175444
SFHA pre-FIRM,2019,8071,0.22946351133688514,0.009175385785842288
non-SFHA,2020,18919,0.0982081505364977,0.0024969141178664968
SFHA post-FIRM,2020,9139,0.35704125177809387,0.004044705866537145
SFHA pre-FIRM,2020,7822,0.2315264638199949,0.009558154143568266
non-SFHA,2021,17856,0.09615815412186379,0.0027166944420285487
SFHA post-FIRM,2021,9143,0.3532757300667177,0.004078832425070205
SFHA pre-FIRM,2021,8015,0.20798502807236433,0.009320162065343368
non-SFHA,2022,15674,0.0855556973331632,0.0030272504102046797
SFHA pre-FIRM,2022,8576,0.16511194029850745,0.00769469265778215
SFHA post-FIRM,2022,7777,0.34074836055034075,0.0039986229454192475
non-SFHA,2023,14621,0.07728609534231584,0.0033652881562910683
SFHA pre-FIRM,2023,9199,0.13708011740406567,0.007499713336120478
SFHA post-FIRM,2023,6946,0.3358767636049525,0.004363577866381067
non-SFHA,2024,13640,0.0748533724340176,0.0036667472255550557
SFHA pre-FIRM,2024,10102,0.11294793110275193,0.0077216816174708975
SFHA post-FIRM,2024,6365,0.3407698350353496,0.00484401885608916
