damage_ratio_lower,damage_ratio_upper,damage_ratio_mean,weight,n_claims
0.000000,0.050000,0.022956,0.275156,195929
0.050000,0.100000,0.072455,0.148460,105713
0.100000,0.150000,0.122943,0.083893,59737
0.150000,0.200000,0.173738,0.057023,40604
0.200000,0.250000,0.224340,0.046455,33079
0.250000,0.300000,0.274935,0.044367,31592
0.300000,0.350000,0.325106,0.043614,31056
0.350000,0.400000,0.374939,0.043179,30746
0.400000,0.450000,0.424654,0.041844,29796
0.450000,0.500000,0.474377,0.037419,26645
0.500000,0.550000,0.524377,0.032578,23198
0.550000,0.600000,0.574048,0.027041,19255
0.600000,0.650000,0.624294,0.022256,15848
0.650000,0.700000,0.674516,0.018372,13082
0.700000,0.750000,0.724468,0.015194,10819
0.750000,0.800000,0.774443,0.013069,9306
0.800000,0.850000,0.824442,0.011566,8236
0.850000,0.900000,0.874589,0.010189,7255
0.900000,0.950000,0.924570,0.009068,6457
0.950000,1.000000,0.987095,0.019258,13713
