damage_ratio_lower,damage_ratio_upper,damage_ratio_mean,weight,n_claims
0.000000,0.050000,0.023036,0.249314,202677
0.050000,0.100000,0.072447,0.135293,109985
0.100000,0.150000,0.122942,0.076493,62184
0.150000,0.200000,0.173743,0.052207,42441
0.200000,0.250000,0.224354,0.042773,34772
0.250000,0.300000,0.274957,0.041207,33499
0.300000,0.350000,0.325111,0.040974,33309
0.350000,0.400000,0.375019,0.040963,33300
0.400000,0.450000,0.424724,0.040252,32722
0.450000,0.500000,0.474474,0.036529,29696
0.500000,0.550000,0.524425,0.032658,26549
0.550000,0.600000,0.574210,0.028017,22776
0.600000,0.650000,0.624410,0.023767,19321
0.650000,0.700000,0.674590,0.020421,16601
0.700000,0.750000,0.724661,0.017640,14340
0.750000,0.800000,0.774664,0.016014,13018
0.800000,0.850000,0.825012,0.015929,12949
0.850000,0.900000,0.874826,0.014856,12077
0.900000,0.950000,0.924784,0.014385,11694
0.950000,1.000000,0.993053,0.060310,49028
