damage_ratio_lower,damage_ratio_upper,damage_ratio_mean,weight,n_claims
0.000000,0.050000,0.022380,0.301426,244805
0.050000,0.100000,0.071863,0.137783,111901
0.100000,0.150000,0.123134,0.073160,59417
0.150000,0.200000,0.174416,0.053865,43747
0.200000,0.250000,0.224927,0.050687,41166
0.250000,0.300000,0.274983,0.051828,42092
0.300000,0.350000,0.324789,0.050841,41291
0.350000,0.400000,0.374437,0.047177,38315
0.400000,0.450000,0.424168,0.040351,32771
0.450000,0.500000,0.473830,0.032457,26360
0.500000,0.550000,0.523999,0.025999,21115
0.550000,0.600000,0.573935,0.020325,16507
0.600000,0.650000,0.624371,0.017108,13894
0.650000,0.700000,0.674335,0.015027,12204
0.700000,0.750000,0.724204,0.013723,11145
0.750000,0.800000,0.775619,0.014139,11483
0.800000,0.850000,0.824475,0.016568,13456
0.850000,0.900000,0.873916,0.012221,9925
0.900000,0.950000,0.920939,0.011333,9204
0.950000,1.000000,0.976823,0.013984,11357
