damage_ratio_lower,damage_ratio_upper,damage_ratio_mean,weight,n_claims
0.000000,0.050000,0.022456,0.261254,125837
0.050000,0.100000,0.072507,0.138413,66669
0.100000,0.150000,0.123040,0.079248,38171
0.150000,0.200000,0.173877,0.055485,26725
0.200000,0.250000,0.224529,0.046617,22454
0.250000,0.300000,0.275101,0.045884,22101
0.300000,0.350000,0.325222,0.046918,22599
0.350000,0.400000,0.375117,0.047531,22894
0.400000,0.450000,0.424690,0.047053,22664
0.450000,0.500000,0.474302,0.042631,20534
0.500000,0.550000,0.524415,0.037055,17848
0.550000,0.600000,0.574016,0.030588,14733
0.600000,0.650000,0.624201,0.024814,11952
0.650000,0.700000,0.674463,0.020205,9732
0.700000,0.750000,0.724418,0.016613,8002
0.750000,0.800000,0.774213,0.013794,6644
0.800000,0.850000,0.824495,0.011842,5704
0.850000,0.900000,0.874524,0.010142,4885
0.900000,0.950000,0.924364,0.008792,4235
0.950000,1.000000,0.985042,0.015120,7283
